image,width,height,megapixels,cpu_invert,cpu_gaussian,cpu_equalize,cpu_total,gpu_transfer,gpu_invert,gpu_gaussian,gpu_equalize,gpu_total,speedup_invert,speedup_gaussian,speedup_equalize,speedup_total,gpu_total_with_transfer,speedup_real
00000001_000.png,1024,1024,1.049,0.0011847800109535,0.0233800599991809,0.0143945399904623,0.0389593800005968,0.0039259000041056,0.0002013799967244,0.0313483399979304,0.0686248199956025,0.1001745399902574,5.8833053442489565,0.7458149299364636,0.20975705278913234,0.38891498782411027,0.104100439994363,0.3742479859134739
00000001_001.png,1024,1024,1.049,0.0007195799960754,0.02363258000114,0.0143148800067137,0.0386670400039292,0.0011049000022467,0.0001061599876265,0.001015359989833,0.0012223400000948,0.0023438599775545,6.778259984421627,23.275075084480076,11.711046031058046,16.497162959484044,0.0034487599798012,11.211867520614792
00000001_002.png,1024,1024,1.049,0.000760180002544,0.0243201799923554,0.0140667999978177,0.0391471599927172,0.001079200010281,0.0001595999929122,0.0015695599955506,0.0008653399883769,0.0025944999768398,4.763032808918696,15.494903069203103,16.255807181871372,15.08851815076905,0.0036736999871208,10.656057960627896
00000002_000.png,1024,1024,1.049,0.0007371600018814,0.023331959999632,0.015484319999814,0.0395534400013275,0.0009356000227853,0.0001149400079157,0.001079440000467,0.0015231600031256,0.0027175400115083,6.413432670215687,21.614874369615592,10.165918201659318,14.554869416393393,0.0036531400342936,10.827244406188187
00000003_000.png,1024,1024,1.049,0.0007219000020995,0.0258979199978057,0.01587207998964,0.0424918999895453,0.0005648999940603,7.365999626927078e-05,0.0014769399946089,0.000913300004322,0.0024638999952003,9.800434953329745,17.53484914237398,17.378823951088055,17.245789225341902,0.0030287999892606,14.029285571913434
00000003_001.png,1024,1024,1.049,0.000812880002195,0.0250406600011047,0.0144015199970453,0.0402550600003451,0.0005634000117424,0.0001202799903694,0.0010032999911345,0.0008989799942355,0.0020225599757395,6.758231354180436,24.95829783950213,16.01984481233364,19.903024129421333,0.0025859599874819,15.566776050368745
00000003_002.png,1024,1024,1.049,0.0009082400065381,0.0236772999982349,0.0146249399986118,0.0392104800033848,0.0019796999986283,0.0001442799984943,0.0015101399971172,0.0010212799941655,0.002675699989777,6.294982090493863,15.678877483831942,14.320206096430988,14.654288654630784,0.0046553999884053,8.422580251115283
00000003_003.png,1024,1024,1.049,0.0011617999931331,0.0236479400016833,0.0141601599985733,0.0389698999933898,0.0014163999876473,0.0001461000123526,0.0014132999989669,0.000889440003084,0.0024488400144036,7.952086891883309,16.732427665017738,15.920309351361606,15.913616146492396,0.0038652400020509,10.082142369610253
00000003_004.png,1024,1024,1.049,0.0008089000009931,0.0231892200012225,0.014233659999445,0.0382317800016608,0.0010653000208549,0.0001334400032646,0.0010462000034749,0.0015178199973888,0.0026974600041285,6.061900338754647,22.165188228064125,9.377699611239837,14.17325185290849,0.0037627600249834003,10.160568239222076
00000003_005.png,1024,1024,1.049,0.001276199996937,0.0240730199962854,0.0139133199991192,0.0392625399923417,0.0028320999990683,0.0001054200052749,0.0011864799947943,0.0017615000018849,0.0030534000019542,12.10586163042867,20.289444492874857,7.898563715146861,12.858629713504081,0.0058855000010225,6.671062778951753
