image,width,height,megapixels,gpu_transfer,gpu_invert,gpu_gaussian,gpu_equalize,gpu_total
00000001_000.png,1024,1024,1.049,0.0039259000041056424,0.00020137999672442675,0.03134833999793045,0.06862481999560259,0.10017453999025747
00000001_001.png,1024,1024,1.049,0.0011049000022467226,0.00010615998762659728,0.0010153599898330868,0.001222340000094846,0.0023438599775545297
00000001_002.png,1024,1024,1.049,0.0010792000102810562,0.00015959999291226268,0.0015695599955506622,0.0008653399883769453,0.0025944999768398704
00000002_000.png,1024,1024,1.049,0.0009356000227853656,0.00011494000791572035,0.0010794400004670024,0.0015231600031256677,0.0027175400115083907
00000003_000.png,1024,1024,1.049,0.0005648999940603971,7.365999626927078e-05,0.0014769399946089833,0.0009133000043220818,0.002463899995200336
00000003_001.png,1024,1024,1.049,0.0005634000117424875,0.00012027999036945403,0.0010032999911345542,0.0008989799942355603,0.0020225599757395683
00000003_002.png,1024,1024,1.049,0.001979699998628348,0.00014427999849431217,0.0015101399971172214,0.0010212799941655248,0.002675699989777058
00000003_003.png,1024,1024,1.049,0.00141639998764731,0.0001461000123526901,0.001413299998966977,0.0008894400030840188,0.002448840014403686
00000003_004.png,1024,1024,1.049,0.0010653000208549201,0.0001334400032646954,0.0010462000034749507,0.0015178199973888695,0.0026974600041285157
00000003_005.png,1024,1024,1.049,0.002832099999068305,0.00010542000527493655,0.001186479994794354,0.001761500001884997,0.0030534000019542874
00000003_006.png,1024,1024,1.049,0.0008148000051733106,0.00010030000121332704,0.0010399999970104544,0.0014659200154710562,0.0026062200136948376
00000003_007.png,1024,1024,1.049,0.0018502000020816922,0.00014780000783503054,0.001224820001516491,0.0011339199903886766,0.002506539999740198
00000004_000.png,1024,1024,1.049,0.0006416999967768788,0.00013810000964440406,0.0010817400005180388,0.0016317399975378066,0.0028515800077002496
00000005_000.png,1024,1024,1.049,0.0012217999901622534,0.00015004000160843134,0.0012311000027693808,0.001701200008392334,0.0030823400127701463
00000005_001.png,1024,1024,1.049,0.0012946000206284225,0.00017611999646760523,0.0013061600096989424,0.0013464199902955443,0.002828699996462092
00000005_002.png,1024,1024,1.049,0.0018447000184096396,0.00024701998918317256,0.0014865199977066369,0.001208240003325045,0.002941779990214855
00000005_003.png,1024,1024,1.049,0.0014089999895077199,0.0001323999895248562,0.001320819987449795,0.0010219999996479601,0.0024752199766226116
00000005_004.png,1024,1024,1.049,0.002877200022339821,0.00019771999795921148,0.0012503000034485012,0.0014516999945044518,0.0028997199959121646
