image,width,height,megapixels,cpu_invert,cpu_gaussian,cpu_equalize,cpu_total
00000001_000.png,1024,1024,1.049,0.000990160007495433,0.026726200000848622,0.0167879999964498,0.04450436000479385
00000001_001.png,1024,1024,1.049,0.0007393599953502417,0.02274988000281155,0.017163380002602934,0.04065262000076472
00000001_002.png,1024,1024,1.049,0.0007037000032141805,0.02328960000304505,0.01638360000215471,0.04037690000841394
00000002_000.png,1024,1024,1.049,0.000722579995635897,0.022906899987719952,0.015236380021087825,0.03886586000444368
00000003_000.png,1024,1024,1.049,0.0007171600009314716,0.024970220017712562,0.016483179992064834,0.04217056001070887
00000003_001.png,1024,1024,1.049,0.000767780002206564,0.02311408002860844,0.01636563999345526,0.040247500024270265
00000003_002.png,1024,1024,1.049,0.0007795399986207485,0.023813839990179986,0.01611292000161484,0.04070629999041557
00000003_003.png,1024,1024,1.049,0.0007732999976724387,0.0237875199993141,0.016272600006777792,0.04083342000376433
00000003_004.png,1024,1024,1.049,0.0008150599896907806,0.023645640001632273,0.01641149999340996,0.040872199984733015
00000003_005.png,1024,1024,1.049,0.0007599999895319343,0.022988999995868654,0.01674333999399096,0.04049233997939154
00000003_006.png,1024,1024,1.049,0.0008954199962317944,0.02277709998888895,0.016763499996159226,0.040436019981279964
00000003_007.png,1024,1024,1.049,0.0008874399936757982,0.0234162800014019,0.01673708001617342,0.04104080001125112
00000004_000.png,1024,1024,1.049,0.0007218600017949939,0.023342040018178523,0.016699199995491652,0.04076310001546517
00000005_000.png,1024,1024,1.049,0.0012278400012291969,0.023775839991867543,0.017356680007651448,0.04236036000074819
00000005_001.png,1024,1024,1.049,0.0008888999931514263,0.02314561998937279,0.02389127998612821,0.04792579996865243
00000005_002.png,1024,1024,1.049,0.0007534399977885186,0.0237414599978365,0.016229619982186704,0.04072451997781172
00000005_003.png,1024,1024,1.049,0.0007441000081598759,0.027052340004593133,0.016236300009768456,0.044032740022521465
00000005_004.png,1024,1024,1.049,0.0007293800124898552,0.023296679987106474,0.016357639990746974,0.0403836999903433
00000005_005.png,1024,1024,1.049,0.0009237400023266673,0.023226799990516155,0.015883279987610875,0.040033819980453696
00000005_006.png,1024,1024,1.049,0.0009189399890601635,0.02283061998896301,0.016738739993888883,0.040488299971912056
00000005_007.png,1024,1024,1.049,0.0008444799925200642,0.02285042000003159,0.016249660006724297,0.03994455999927595
00000006_000.png,1024,1024,1.049,0.0007478799903765321,0.023558560002129525,0.0160741199972108,0.04038055998971686
00000007_000.png,1024,1024,1.049,0.0007762199966236949,0.023686220007948577,0.017469780007377266,0.04193222001194954
00000008_000.png,1024,1024,1.049,0.0007140599889680743,0.022746760002337395,0.01603724000742659,0.03949805999873206
00000008_001.png,1024,1024,1.049,0.0007977999979630112,0.0232075999956578,0.016106260009109974,0.04011166000273079
00000008_002.png,1024,1024,1.049,0.0007352399989031255,0.023859200021252035,0.016247800004202874,0.04084224002435803
00000009_000.png,1024,1024,1.049,0.0010077800019644202,0.023987320007290692,0.01711812000721693,0.04211322001647204
00000010_000.png,1024,1024,1.049,0.0008985600084997714,0.02327510000905022,0.025418480008374898,0.04959214002592489
00000011_000.png,1024,1024,1.049,0.0007480600033886731,0.02381799998693168,0.017270400014240295,0.04183646000456065
00000011_001.png,1024,1024,1.049,0.0007293800008483231,0.025982220005244017,0.0171138999867253,0.04382549999281764
00000011_002.png,1024,1024,1.049,0.0009554000105708837,0.0231880999985151,0.0164401599788107,0.04058365998789668
00000011_003.png,1024,1024,1.049,0.0010857599903829397,0.02357647999888286,0.016532459994778037,0.041194699984043834
00000011_004.png,1024,1024,1.049,0.0009799999999813736,0.02880477999569848,0.018428779987152664,0.04821355998283252
00000011_005.png,1024,1024,1.049,0.0015700999880209564,0.030515619996003808,0.017643140000291168,0.049728859984315935
00000011_006.png,1024,1024,1.049,0.0007641199976205826,0.02541834000730887,0.014633539994247258,0.04081599999917671
00000011_007.png,1024,1024,1.049,0.0007266000029630959,0.022795420000329615,0.013449279998894781,0.03697130000218749
00000011_008.png,1024,1024,1.049,0.0007291599875316023,0.02389034000225365,0.015137820015661418,0.03975732000544667
00000012_000.png,1024,1024,1.049,0.000699780008289963,0.02299769999226555,0.014217879995703698,0.03791535999625921
00000013_000.png,1024,1024,1.049,0.0007499599945731461,0.02411009999923408,0.013329979998525232,0.03819003999233246
00000013_001.png,1024,1024,1.049,0.0008026800001971424,0.02325119999004528,0.01494984000455588,0.0390037199947983
00000013_002.png,1024,1024,1.049,0.0008147399988956749,0.023279539996292443,0.01372741999803111,0.03782169999321923
00000013_003.png,1024,1024,1.049,0.0007664999924600124,0.02331909999484196,0.014020719996187836,0.03810631998348981
00000013_004.png,1024,1024,1.049,0.0007597999996505677,0.02351952000753954,0.014508699998259544,0.038788020005449654
00000013_005.png,1024,1024,1.049,0.0007879999931901694,0.02415195999201387,0.017103780002798885,0.042043739988002926
00000013_006.png,1024,1024,1.049,0.0007416600012220443,0.023311320005450397,0.013671759993303566,0.03772473999997601
00000013_007.png,1024,1024,1.049,0.0013077600160613656,0.024082079995423555,0.014093699993100017,0.03948354000458494
00000013_008.png,1024,1024,1.049,0.0007561199949122965,0.023200859990902246,0.013347019988577813,0.037303999974392356
00000013_009.png,1024,1024,1.049,0.0007807200076058507,0.023268400004599243,0.013864359993021935,0.03791348000522703
